### Module positions - created on Tue 03 Dec 2019 04:23:24 CST ###
### Printed by Pcbnew version 5.99.0-unknown-r17145-8bd2765f
## Unit = mm, Angle = deg.
## Side : bottom
# Ref     Val                   Package                                                      PosX       PosY       Rot  Side
R39       DNP                   R_0402_1005Metric                                          9.4742    26.2152    0.0000  bottom
R40       0R                    R_0402_1005Metric                                          8.9789    25.7096   90.0000  bottom
S1        PTS645SM43SMTR92_LFS  Switch_Tactile_SMD_6x6mm_PTS645                           19.1008   130.5000   -0.0000  bottom
S2        PTS645SM43SMTR92_LFS  Switch_Tactile_SMD_6x6mm_PTS645                          -21.6662   130.5000   -0.0000  bottom
S3        JS102011SAQN          SW_SPDT_PCM12                                            -51.4604   105.9832  -88.0000  bottom
U1        MCP73831T-2ACI_OT     SOT-753                                                  -35.6000    98.1000  180.0000  bottom
U2        AP2114H-3_3TRG1       SOT-223                                                  -46.2000    94.1000    0.0000  bottom
U3        CP2102N-A01-GQFN24    QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm                      -30.0578   121.5464  -102.5000  bottom
U4        PCA9555               TSSOP-24_4.4x7.8mm_P0.65mm                                31.0290   111.5822  -90.0000  bottom
U6        IQS550                QFN-48-1EP_7x7mm_P0.5mm_EP5.45x5.45mm                      2.8321   101.4824  -45.0000  bottom
U8        PCM5100A              TSSOP-20_4.4x6.5mm_P0.65mm                               -46.3296    80.7720   90.0000  bottom
U9        CC1200                QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm                     10.1854    36.6038  -90.0000  bottom
U10       DRV2605LDGS           VSSOP-10_3x3mm_P0.5mm                                    -18.2118    32.1818    0.0000  bottom
Y1        32.768kHz             Crystal_SMD_3215-2Pin_3.2x1.5mm                          -14.0970   125.3490   90.0000  bottom
Y2        40Mhz                 Crystal_SMD_3225-4Pin_3.2x2.5mm                           16.0274    41.3790   90.0000  bottom
## End
